Site	First Time Seen Blocked	Last Time Seen Blocked	Blocked Count
amygoodloe.com	2017-10-11	2017-11-15	24
caritas.org	2017-10-11	2017-11-15	18
cglcc.ca	2018-07-25	2018-07-25	1
freeservers.com	2017-10-11	2017-11-15	21
gay.com	2017-03-23	2018-07-25	2
gaycalgary.com	2017-10-11	2018-07-25	16
gaycurl.ca	2018-07-25	2018-07-25	2
gayegypt.com	2017-04-21	2018-07-25	4
gayhealth.com	2017-10-11	2018-07-25	21
gayscape.com	2017-03-19	2018-07-25	3
gaytravelnet.com	2017-10-11	2017-11-13	15
glaad.org	2017-09-21	2018-07-25	25
glil.org	2017-02-09	2018-07-25	6
globalgayz.com	2017-10-11	2018-07-25	16
gmhc.org	2017-02-13	2018-07-25	4
hrc.org	2017-10-11	2018-07-25	23
ifge.org	2017-02-18	2018-01-07	25
ilga.org	2017-02-15	2017-11-15	25
lesbian.org	2017-02-09	2017-02-09	2
queerty.com	2017-02-13	2017-03-11	2
tsroadmap.com	2017-06-21	2017-11-23	2
Grand Total	2017-02-09	2018-07-25	257